,pred,true
1430,MGd,LGd
1431,APN,LP
1432,CA1,VIS
1433,CA1,SUB
1434,CA1,CA1
1435,CA1,CA1
1436,APN,APN
1437,CA3,grey
1438,CA1,CA1
1439,LP,LP
1440,CA1,CA1
1441,CA1,VISp
1442,DG,DG
1443,CA1,grey
1444,VISp,VISp
1445,VISrl,VISrl
1446,APN,PoT
1447,VISrl,APN
1448,CA1,VISp
1449,LP,LP
1450,CA3,CA3
1451,CA3,VISal
1452,VIS,grey
1453,VISp,CA1
1454,VISam,CA1
1455,LGd,LGd
1456,VISal,VISal
1457,VISrl,VISpm
1458,grey,grey
1459,VIS,VISl
1460,grey,grey
1461,VISrl,APN
1462,VISli,MGd
1463,APN,APN
1464,VIS,SUB
1465,CA1,CA1
1466,POL,DG
1467,CA3,VISrl
1468,VISal,VISal
1469,APN,LP
1470,LGd,grey
1471,APN,VISrl
1472,CA1,CA1
1473,CA1,SUB
1474,grey,grey
1475,grey,grey
1476,ProS,ProS
1477,LP,VISal
1478,VISp,VISp
1479,CA1,CA1
1480,MGv,MGv
1481,VISal,VISal
1482,CA1,VISam
1483,VISal,VISal
1484,SCig,SUB
1485,VISli,VISli
1486,LP,VISpm
1487,CA3,grey
1488,DG,DG
1489,ProS,ProS
1490,VISal,MGv
1491,APN,VISam
1492,CA3,CA3
1493,LGd,POL
1494,CA1,VISl
1495,VISam,VISam
1496,grey,grey
1497,VISal,VISal
1498,VISrl,VISrl
1499,TH,ProS
1500,VIS,CA1
1501,SGN,VISal
1502,VISpm,VISrl
1503,MB,POL
1504,VISam,ProS
1505,LGd,LGd
1506,DG,DG
1507,VISp,VISam
1508,CA1,VIS
1509,LGd,LGd
1510,CA1,VISl
1511,CA3,VISrl
1512,CA1,VISp
1513,CA1,VISam
1514,VISal,VISpm
1515,VIS,CA1
1516,VISrl,LP
1517,CA3,VISpm
1518,CA1,VISam
1519,grey,grey
1520,CA1,SUB
1521,grey,grey
1522,grey,grey
1523,CA1,VIS
1524,VISpm,VISpm
1525,grey,VISl
1526,VISp,VISam
1527,CA1,VISam
1528,VISam,CA1
1529,LGd,grey
1530,VISl,CA1
1531,VISrl,APN
1532,MB,LGv
1533,grey,grey
1534,CA1,TH
1535,LGd,LGd
1536,CA1,VISp
1537,CA1,grey
1538,CA1,VISp
1539,CA1,OP
1540,grey,grey
1541,CA1,grey
1542,DG,DG
1543,CA1,VISp
1544,grey,grey
1545,CA1,VISp
1546,APN,MB
1547,VIS,CA1
1548,LP,MGv
1549,LP,LP
1550,LGd,LGd
1551,VISp,VISam
1552,VISmma,VISmma
1553,CA1,CA1
1554,grey,grey
1555,grey,grey
1556,CA1,CA1
1557,CA1,VISp
1558,grey,grey
1559,CA1,VIS
1560,VISam,VISl
1561,VIS,VISl
1562,VISp,VISp
1563,VISp,SUB
1564,APN,VISrl
1565,DG,POL
1566,CA1,CA1
1567,CA1,CA1
1568,APN,MB
1569,CA1,VISl
1570,VISam,VISp
1571,DG,LP
1572,VISal,MGv
1573,VISmma,VISmma
1574,VISl,CA1
1575,CA1,CA1
1576,CA1,VISam
1577,CA3,grey
1578,VISp,VISam
1579,grey,VISrl
1580,VISal,VISal
1581,CA1,CA1
1582,VISam,VIS
1583,grey,grey
1584,DG,DG
1585,VISrl,APN
1586,VISli,VISli
1587,TH,APN
1588,DG,VISal
1589,NOT,NOT
1590,grey,grey
1591,CA1,CA1
1592,VISam,VISam
1593,VIS,CA1
1594,MGv,MGv
1595,grey,grey
1596,grey,grey
1597,grey,grey
1598,APN,grey
1599,APN,APN
1600,VISrl,VISrl
1601,VISrl,LGv
1602,CA1,VISp
1603,VISp,VISp
1604,CA1,CA1
1605,grey,VISrl
1606,VISp,VISp
1607,APN,VISp
1608,DG,DG
1609,grey,grey
1610,VISam,CA1
1611,APN,VISrl
1612,CA1,VISl
1613,APN,grey
1614,VISal,VISal
1615,VISam,TH
1616,ProS,ProS
1617,DG,DG
1618,CA1,VISam
1619,VISam,VISam
1620,CA1,VISp
1621,VISam,CA1
1622,CA1,VISp
1623,CA1,VISp
1624,LP,LGd
1625,CA1,VISp
1626,VISp,CA1
1627,VISp,VISp
1628,LGd,LGd
1629,CA1,CA1
1630,LGd,LGd
1631,CA3,grey
1632,CA1,VISp
1633,grey,SUB
1634,VISal,SGN
1635,grey,grey
1636,VISrl,APN
1637,grey,grey
1638,CA1,VISp
1639,VISal,VISal
1640,CA1,VISam
1641,CA1,VISp
1642,VISam,VISp
1643,CA1,CA1
1644,APN,VISpm
1645,CA1,CA1
1646,grey,grey
1647,SUB,SUB
1648,LGd,VISrl
1649,APN,APN
1650,VISp,VISl
1651,VISrl,CA3
1652,CA1,CA1
1653,CA1,CA1
1654,VISrl,VISrl
1655,VISmma,CA1
1656,CA1,CA1
1657,CA1,SUB
1658,VISpm,PIL
1659,grey,VISpm
1660,MGd,VISli
1661,LGd,LGd
1662,LGd,grey
1663,APN,VISpm
1664,grey,grey
1665,DG,DG
1666,CA1,CA1
1667,VISp,VISp
1668,CA1,VISp
1669,DG,MGv
1670,CA1,CA1
1671,CA1,VISp
1672,CA1,VISp
1673,VISp,VISmma
1674,LP,MGv
1675,LP,MB
1676,VISam,TH
1677,VISal,VISal
1678,DG,DG
1679,APN,grey
1680,CA3,CA3
1681,CA3,VISpm
1682,VISam,VISp
1683,CA1,VISam
1684,VISal,grey
1685,CA1,CA1
1686,VISal,SGN
1687,VISl,CA1
1688,VISam,VISp
1689,CA1,CA1
1690,CA1,NOT
1691,CA1,VISam
1692,CA1,VISam
1693,APN,grey
1694,LP,VISrl
1695,APN,APN
1696,DG,LGv
1697,VISam,VISli
1698,VISrl,VISrl
1699,CA1,CA1
1700,VISam,VISam
1701,LP,LP
1702,DG,DG
1703,CA1,CA1
1704,CA1,VISp
1705,APN,APN
1706,LP,VISpm
1707,VISrl,VISrl
1708,CA3,VISp
1709,LP,LP
1710,grey,grey
1711,LGd,LGd
1712,CA3,CA3
1713,CA1,VISp
1714,CA1,VISp
1715,VISal,VISal
1716,APN,APN
1717,VISrl,DG
1718,LGd,LP
1719,APN,VISpm
1720,VISam,TH
1721,CA1,Eth
1722,APN,VISrl
1723,CA1,Eth
1724,CA1,VISp
1725,VISal,VISal
1726,CA1,CA1
1727,VISam,VISam
1728,CA1,CA1
1729,CA1,MGd
1730,grey,APN
1731,DG,DG
1732,CA3,LP
1733,APN,VISrl
1734,CA3,CA3
1735,DG,DG
1736,LP,LGd
1737,ProS,TH
1738,grey,grey
1739,grey,grey
1740,CA3,grey
1741,VIS,CA1
1742,CA1,grey
1743,CA1,VIS
1744,SGN,SGN
1745,VISrl,APN
1746,SUB,SUB
1747,CA1,CA1
1748,VISp,VISam
1749,VISl,VIS
1750,APN,CA3
1751,CA1,VISam
1752,CA1,VISp
1753,DG,DG
1754,grey,LP
1755,CA1,VISmma
1756,APN,CA3
1757,VISam,VISam
1758,grey,grey
1759,CA1,VIS
1760,DG,DG
1761,DG,MB
1762,VISal,VISal
1763,LP,VISpm
1764,VIS,CA1
1765,CA1,CA1
1766,MGd,ProS
1767,VISmma,Eth
1768,VISal,VISal
1769,CA1,CA1
1770,LGd,LGd
1771,VISl,VISl
1772,grey,grey
1773,CA1,VISp
1774,VISp,CA1
1775,DG,DG
1776,VISli,TH
1777,VISpm,LP
1778,VISp,VISp
1779,LGd,LGd
1780,DG,DG
1781,VISam,VISli
1782,CA1,CA1
1783,grey,grey
1784,CA1,SUB
1785,APN,APN
1786,APN,APN
1787,CA1,grey
1788,CA1,VISam
1789,TH,VISam
1790,CA1,CA1
1791,CA1,CA1
1792,VISrl,APN
1793,LGd,LGd
1794,VISam,VISam
1795,CA1,VISl
1796,VISmma,OP
1797,grey,grey
1798,APN,APN
1799,CA1,CA1
1800,grey,LGd
1801,CA3,MB
1802,CA1,VISl
1803,CA1,CA1
1804,CA1,VISam
1805,CA1,VISp
1806,CA1,VISp
1807,CA1,CA1
1808,VISrl,VISrl
1809,VISal,VISal
1810,MGd,ProS
1811,CA1,CA1
1812,LP,LP
1813,CA1,CA1
1814,VISpm,APN
1815,grey,grey
1816,VISam,VISli
1817,grey,grey
1818,VISpm,VISrl
1819,APN,VISpm
1820,MGm,ProS
1821,VISal,SGN
1822,CA1,VISam
1823,DG,DG
1824,grey,grey
1825,LGd,VISrl
1826,CA1,VISp
1827,SUB,NOT
1828,LP,LP
1829,LP,LP
1830,LP,LP
1831,CA3,SUB
1832,CA1,VISam
1833,CA1,VIS
1834,grey,grey
1835,CA3,CA2
1836,CA3,VISpm
1837,VISpm,VISpm
1838,VISam,CA1
1839,CA1,CA1
1840,LP,LP
1841,CA3,grey
1842,CA1,CA1
1843,VISp,CA1
1844,grey,APN
1845,CA1,VISl
1846,APN,APN
1847,VISam,VISam
1848,CA3,LP
1849,APN,APN
1850,CA1,VISl
1851,VISal,VISal
1852,VISmma,VISmma
1853,VIS,CA1
1854,DG,VISrl
1855,LGd,grey
1856,grey,LP
1857,CA1,CA1
1858,CA3,CA3
1859,grey,grey
1860,DG,DG
1861,VISal,VISal
1862,CA3,VISrl
1863,ProS,ProS
1864,DG,LP
1865,CA1,VISam
1866,VISrl,VISrl
1867,CA1,VISrl
1868,VISrl,LP
1869,VISp,VISp
1870,LP,MGv
1871,VISrl,MB
1872,CA1,VISam
1873,VISrl,APN
1874,VISp,VISl
1875,VISp,VISl
1876,DG,MB
1877,LGd,LGd
1878,DG,MB
1879,VISrl,VISrl
1880,VISpm,VISrl
1881,CA1,CA1
1882,grey,grey
1883,VISl,CA1
1884,CA1,CA1
1885,ProS,ProS
1886,VISp,SUB
1887,CA1,CA1
1888,VIS,VIS
1889,CA1,CA1
1890,CA1,CA1
1891,grey,grey
1892,APN,MB
1893,APN,APN
1894,CA1,VISp
1895,grey,SUB
1896,VISrl,VISrl
1897,CA3,CA3
1898,ProS,ProS
1899,APN,CA3
1900,CA1,VISp
1901,VIS,VIS
1902,LP,LP
1903,CA1,VISam
1904,grey,grey
1905,CA1,VISp
1906,APN,VISrl
1907,VISp,CA1
1908,CA1,CA1
1909,VISal,VISal
1910,grey,grey
1911,VISp,VISp
1912,CA1,CA1
1913,CA1,CA1
1914,CA1,CA1
1915,VISam,SUB
1916,VISli,VISam
1917,VISp,VISam
1918,DG,DG
1919,CA1,CA1
1920,VISp,VISp
1921,MGv,VISal
1922,CA1,VIS
1923,CA1,VIS
1924,CA1,CA1
1925,SUB,VISp
1926,CA1,Eth
1927,VISal,VISal
1928,VISp,CA1
1929,grey,grey
1930,grey,grey
1931,VISpm,APN
1932,CA1,VIS
1933,grey,SUB
1934,CA1,VISam
1935,grey,grey
1936,VISal,VISal
1937,CA1,VISl
1938,DG,DG
1939,CA1,VISrl
1940,grey,grey
1941,CA1,VIS
1942,CA1,VISp
1943,DG,DG
1944,grey,grey
1945,DG,DG
1946,LP,LP
1947,grey,VISpm
1948,CA1,SUB
1949,LP,LP
1950,MGv,LP
1951,CA1,SUB
1952,VIS,VISl
1953,LP,LP
1954,DG,DG
1955,VISl,CA1
1956,grey,grey
1957,grey,grey
1958,CA1,CA1
1959,NOT,SUB
1960,CA1,VISp
1961,VISp,CA1
1962,VISp,CA1
1963,VISam,ProS
1964,VISrl,VISrl
1965,VISam,VISam
1966,DG,MB
1967,APN,VISrl
1968,VISpm,APN
1969,grey,grey
1970,CA1,CA1
1971,VIS,CA1
1972,grey,grey
1973,VISrl,VISrl
1974,grey,grey
1975,CA1,VISp
1976,DG,APN
1977,CA1,VISl
1978,grey,grey
1979,VISp,CA1
1980,CA1,VISp
1981,grey,grey
1982,CA1,VISl
1983,LP,LP
1984,CA1,VISam
1985,VIS,VIS
1986,VISrl,LGv
1987,CA1,VISmma
1988,CA1,VISam
1989,grey,LP
1990,CA1,VISp
1991,VISl,SUB
1992,VISam,ProS
1993,VISp,CA1
1994,CA1,CA1
1995,LP,LP
1996,grey,grey
1997,CA1,CA1
1998,CA1,VISli
1999,grey,grey
2000,VISal,SGN
2001,CA1,VIS
2002,VISal,VISal
2003,LGd,LGd
2004,LP,VISpm
2005,CA1,VISam
2006,CA1,CA1
2007,grey,grey
2008,APN,CA3
2009,APN,LP
2010,VISal,VISal
2011,CA1,VISp
2012,APN,VISrl
2013,CA1,CA1
2014,DG,DG
2015,DG,DG
2016,VISp,VIS
2017,ProS,ProS
2018,VISal,VISal
2019,grey,grey
2020,CA1,CA1
2021,SUB,SUB
2022,DG,DG
2023,CA1,CA1
2024,APN,CA3
2025,VISp,ProS
2026,CA1,VISp
2027,grey,grey
2028,VISp,NOT
2029,VISp,CA1
2030,VISrl,VISrl
2031,grey,VISpm
2032,VISl,CA1
2033,APN,VISpm
2034,grey,grey
2035,APN,DG
2036,VISrl,VISrl
2037,CA1,CA1
2038,CA1,VIS
2039,VIS,CA1
2040,CA1,VISl
2041,DG,VISal
2042,VISpm,DG
2043,APN,MB
2044,DG,DG
2045,LGd,CA3
2046,VISam,CA1
2047,VIS,CA1
2048,Eth,Eth
2049,APN,SGN
2050,CA1,CA1
2051,VISal,VISal
2052,VISrl,APN
2053,DG,DG
2054,grey,VISpm
2055,VISl,SUB
2056,VISp,VISp
2057,LGd,LGd
2058,VISrl,APN
2059,CA3,grey
2060,grey,grey
2061,VISp,VISmma
2062,LP,LP
2063,CA1,VISrl
2064,VISam,VISam
2065,grey,grey
2066,VISp,VISp
2067,VISal,VISal
2068,VISal,VISal
2069,CA1,MGv
2070,CA1,CA3
2071,CA1,VISp
2072,LGd,APN
2073,grey,grey
2074,CA1,CA1
2075,LGd,LGd
2076,DG,DG
2077,ProS,ProS
2078,VISal,SGN
2079,CA1,CA1
2080,CA3,grey
2081,DG,DG
2082,LGd,CA3
2083,grey,APN
2084,grey,APN
2085,LGd,VISal
2086,CA3,VISp
2087,ProS,ProS
2088,VIS,CA1
2089,VISam,VISam
2090,CA1,CA1
2091,VISal,VISal
2092,VISl,VISp
2093,CA1,CA1
2094,LP,LGd
2095,VISal,VISal
2096,CA1,grey
2097,CA1,CA1
2098,APN,APN
2099,CA1,VIS
2100,VIS,CA1
2101,VISal,SGN
2102,CA1,CA1
2103,VISrl,VISrl
2104,VISrl,VISrl
2105,grey,CA3
2106,CA1,CA1
2107,POL,VISal
2108,CA3,APN
2109,CA1,Eth
2110,APN,APN
2111,VISam,VISam
2112,APN,CA3
2113,VISal,SGN
2114,LGd,LGd
2115,grey,grey
2116,VISam,VISam
2117,VISam,VISam
2118,VISl,VISam
2119,DG,DG
2120,NOT,grey
2121,VISmma,VISp
2122,DG,DG
2123,CA1,VISp
2124,LP,VISpm
2125,grey,grey
2126,CA1,CA1
2127,grey,grey
2128,grey,grey
2129,VIS,VISam
2130,SUB,SCig
2131,DG,DG
2132,APN,grey
2133,LP,MGv
2134,CA1,VISp
2135,CA1,CA1
2136,VISam,VISam
2137,APN,CA3
2138,CA1,VISl
2139,APN,APN
2140,LGd,LGd
2141,LP,LP
2142,VISp,VISp
2143,CA1,SUB
2144,VISp,VISam
2145,APN,VISrl
2146,LP,MGv
2147,APN,APN
2148,LP,LP
2149,DG,SGN
2150,grey,grey
2151,LP,DG
2152,SGN,VISal
2153,MGd,ProS
2154,LGd,LP
2155,CA1,CA1
2156,VISrl,VISam
2157,CA1,VISp
2158,grey,CA3
2159,APN,VISrl
2160,CA1,VISl
2161,grey,grey
2162,VISrl,VISrl
2163,CA1,CA1
2164,grey,grey
2165,LGd,LGd
2166,CA1,SUB
2167,VISp,VISp
2168,CA1,VISam
2169,VISp,VISam
2170,CA1,CA1
2171,VISpm,VISpm
2172,CA1,CA1
2173,MB,VISp
2174,CA1,VISp
2175,DG,DG
2176,CA1,VISp
2177,CA1,VISp
2178,grey,VISpm
2179,VISrl,grey
2180,CA1,SCig
2181,VISrl,APN
2182,grey,grey
2183,DG,DG
2184,APN,VISrl
2185,LGd,grey
2186,VISp,VISp
2187,PPT,grey
2188,VISp,VIS
2189,VIS,CA1
2190,APN,VISpm
2191,LGd,LGd
2192,DG,DG
2193,VISrl,APN
2194,LGd,grey
2195,VISal,VISal
2196,VISrl,APN
2197,CA1,VISam
2198,VISl,CA1
2199,VISp,VISp
2200,CA1,CA1
2201,DG,DG
2202,CA1,VIS
2203,VISal,VISal
2204,CA1,CA1
2205,LP,VISal
2206,DG,DG
2207,APN,VISrl
2208,CA1,VISp
2209,VIS,VIS
2210,CA1,CA1
2211,VISp,VISp
2212,grey,grey
2213,grey,SUB
2214,VISal,SGN
2215,CA1,CA1
2216,grey,grey
2217,LP,LP
2218,MB,APN
2219,CA1,CA1
2220,VISal,VISal
2221,APN,VISrl
2222,APN,APN
2223,CA1,VISl
2224,grey,grey
2225,VISp,VISp
2226,DG,DG
2227,CA3,VISrl
2228,CA1,VISp
2229,CA1,VISl
2230,VISrl,VISrl
2231,grey,grey
2232,VIS,VIS
2233,CA1,VISp
2234,grey,CA3
2235,VISam,CA1
2236,CA1,VISp
2237,DG,DG
2238,CA3,grey
2239,CA1,VISp
2240,CA1,VISp
2241,VIS,CA1
2242,DG,VISrl
2243,grey,grey
2244,grey,grey
2245,CA1,CA1
2246,CA3,grey
2247,LP,CA3
2248,VISp,SUB
2249,CA1,VISp
2250,grey,grey
2251,APN,VISrl
2252,VISpm,VISrl
2253,CA1,VIS
2254,CA1,VISl
2255,DG,DG
2256,CA1,CA1
2257,grey,VISrl
2258,APN,VISrl
2259,APN,APN
2260,VISal,VISal
2261,APN,VISrl
2262,CA1,CA1
2263,CA1,VIS
2264,DG,DG
2265,VISal,VISal
2266,VIS,VIS
2267,CA3,grey
2268,VISp,CA1
2269,CA1,VISam
2270,grey,grey
2271,CA1,VISli
2272,DG,DG
2273,CA1,VIS
2274,VISam,VISam
2275,CA1,VISam
2276,CA1,CA1
2277,VISal,VISal
2278,VIS,CA1
2279,APN,VISrl
2280,VISam,VISam
2281,CA1,VISp
2282,CA1,VISam
2283,CA1,CA1
2284,VISal,VISal
2285,CA1,VISp
2286,SUB,SUB
2287,CA3,LP
2288,VISp,VISam
2289,CA1,VIS
2290,CA1,CA1
2291,grey,VISrl
2292,CA1,VISp
2293,grey,grey
2294,VISl,CA1
2295,CA3,VISrl
2296,grey,grey
2297,VISmma,MGm
2298,POL,VISal
2299,CA1,SCig
2300,CA1,CA1
2301,grey,grey
2302,VISal,VISal
2303,VIS,VISp
2304,VISpm,VISrl
2305,MGv,VISal
2306,LGd,VISrl
2307,CA1,VISal
2308,VISam,VISam
2309,VISam,VISam
2310,CA1,CA1
2311,CA1,CA1
2312,VISp,VISp
2313,VISp,VISp
2314,VISp,VISp
2315,CA1,CA1
2316,LGd,VISrl
2317,ProS,ProS
2318,DG,DG
2319,grey,CA3
2320,MGm,MGd
2321,CA1,VISam
2322,CA3,CA3
2323,CA1,CA1
2324,DG,LGv
2325,CA1,VISp
2326,CA1,CA1
2327,VIS,CA1
2328,VISp,VISam
2329,CA1,VIS
2330,CA3,VIS
2331,LP,LP
2332,VISrl,APN
2333,VISam,TH
2334,LP,MGv
2335,VIS,CA1
2336,LGd,LP
2337,grey,grey
2338,VISal,VISal
2339,CA1,VISp
2340,CA3,LP
2341,grey,grey
2342,grey,grey
2343,VISp,VIS
2344,VISp,VISp
2345,grey,grey
2346,VIS,VIS
2347,CA1,VISp
2348,grey,grey
2349,DG,DG
2350,VISp,CA1
2351,MGd,MGd
2352,APN,CA3
2353,LGd,CA3
2354,LP,LP
2355,VIS,VIS
2356,VISpm,LGv
2357,CA1,VISp
2358,LGd,LP
2359,CA1,CA1
2360,LGd,LP
2361,DG,DG
2362,grey,VISrl
2363,LGd,grey
2364,grey,grey
2365,VISrl,APN
2366,APN,VISrl
2367,VISam,VISp
2368,VISrl,VISrl
2369,SGN,SGN
2370,CA1,VIS
2371,CA1,CA1
2372,CA3,grey
2373,CA1,VISp
2374,grey,grey
2375,grey,grey
2376,VISrl,LGd
2377,grey,VISpm
2378,VISal,VISal
2379,LP,VISal
2380,DG,VISal
2381,CA3,CA3
2382,LGd,LGd
2383,CA1,VIS
2384,VISrl,VISpm
2385,grey,grey
2386,grey,grey
2387,DG,DG
2388,CA3,VISrl
2389,grey,grey
2390,CA1,CA1
2391,CA3,APN
2392,VISal,DG
2393,DG,DG
2394,SUB,SUB
2395,CA1,VIS
2396,CA1,VISl
2397,grey,grey
2398,APN,VISp
2399,CA1,VISpm
2400,CA1,VIS
2401,VISp,CA1
2402,grey,grey
2403,CA1,SUB
2404,VISmma,SCig
2405,grey,grey
2406,CA1,VISp
2407,grey,grey
2408,NOT,NOT
2409,CA1,CA1
2410,APN,VISpm
2411,APN,VISrl
2412,CA1,CA1
2413,VISal,SGN
2414,grey,grey
2415,grey,VISrl
2416,grey,grey
2417,DG,DG
2418,CA1,VIS
2419,MB,VISal
2420,CA3,LP
2421,CA1,CA1
2422,DG,DG
2423,CA3,grey
2424,grey,grey
2425,ProS,ProS
2426,VISp,CA1
2427,APN,VISrl
2428,CA1,VISl
2429,CA1,VISam
2430,DG,DG
2431,grey,grey
2432,CA1,VISmma
2433,VISam,VISam
2434,APN,VISrl
2435,APN,APN
2436,grey,grey
2437,VISp,VISp
2438,VISal,VISal
2439,DG,DG
2440,VISp,VISam
2441,CA1,CA1
2442,APN,LP
2443,VISal,VISal
2444,DG,DG
2445,APN,APN
2446,VIS,VISam
2447,APN,VISpm
2448,CA1,VISl
2449,grey,grey
2450,SGN,VISal
2451,APN,VISp
2452,CA1,CA1
2453,VISmma,VISmma
2454,LP,LP
2455,grey,CA3
2456,CA1,CA1
2457,grey,VISrl
2458,CA1,VISp
2459,ProS,VISli
2460,VISpm,VISrl
2461,CA3,CA3
2462,VISp,CA1
2463,grey,APN
2464,VISal,VISal
2465,grey,grey
2466,LGd,grey
2467,DG,VISpm
2468,CA1,VISl
2469,CA1,CA1
2470,CA1,CA1
2471,VISal,SGN
2472,VISl,CA1
2473,grey,VISp
2474,APN,VISrl
2475,DG,DG
2476,CA1,VISp
2477,DG,DG
2478,CA1,CA1
2479,DG,DG
2480,CA1,CA1
2481,APN,VISrl
2482,APN,VISpm
2483,DG,DG
2484,grey,grey
2485,CA1,CA1
2486,grey,CA1
2487,ProS,ProS
2488,VISp,VISmma
2489,APN,APN
2490,LP,MGv
2491,grey,grey
2492,VISal,VISal
2493,APN,VISrl
2494,LGd,LGd
2495,APN,VISpm
2496,VISp,CA1
2497,grey,LGd
2498,DG,LGv
2499,VISp,VISp
2500,CA1,VISp
2501,CA1,VISl
2502,VISam,VIS
2503,grey,grey
2504,CA1,SUB
2505,LGd,CA1
2506,CA3,grey
2507,CA1,VISp
2508,APN,APN
2509,VIS,CA1
2510,VISal,VISal
2511,VISam,VISam
2512,LGd,LGd
2513,DG,VISpm
2514,NOT,VISrl
2515,CA1,CA1
2516,APN,APN
2517,grey,grey
2518,APN,VISpm
2519,APN,DG
2520,CA1,Eth
2521,APN,CA3
2522,CA1,VISl
2523,CA1,VISam
2524,VISal,VISal
2525,APN,VISrl
2526,CA1,VISp
2527,VISpm,LP
2528,VISl,VIS
2529,VISrl,VISrl
2530,CA1,CA1
2531,SUB,VISl
2532,grey,grey
2533,grey,grey
2534,LP,DG
2535,grey,VISp
2536,CA1,VIS
2537,APN,APN
2538,CA1,VISl
2539,CA1,VISp
2540,CA1,CA1
2541,VISal,VISal
2542,CA1,CA1
2543,VISrl,VISpm
2544,CA1,CA1
2545,grey,CA3
2546,CA3,LGd
2547,grey,grey
2548,VIS,CA1
2549,grey,grey
2550,VISal,SGN
2551,CA3,APN
2552,grey,grey
2553,CA1,VISp
2554,CA1,CA1
2555,DG,MB
2556,grey,grey
2557,CA1,VISp
2558,grey,CA1
2559,CA1,VISl
2560,VISal,VISal
2561,VISp,VISp
2562,grey,CA3
2563,LP,POL
2564,CA1,VISam
2565,VISp,VISam
2566,CA1,VIS
2567,VISam,CA1
2568,VIS,VIS
2569,CA1,VISp
2570,CA1,VISl
2571,VISrl,APN
2572,APN,APN
2573,CA1,grey
2574,CA1,VIS
2575,VISam,VISam
2576,APN,VISpm
2577,VISp,VISp
2578,grey,LGd
2579,CA1,VISp
2580,VISrl,APN
2581,LGd,LGd
2582,CA1,CA1
2583,VISl,VISl
2584,VISam,VISam
2585,APN,grey
2586,DG,DG
2587,VISrl,MB
2588,CA1,CA1
2589,CA3,TH
2590,APN,VISal
2591,grey,grey
2592,VISam,CA1
2593,CA1,SUB
2594,CA1,VIS
2595,LGd,DG
2596,CA1,VISam
2597,CA1,VISp
2598,APN,APN
2599,VISam,VISam
2600,LGd,grey
2601,grey,grey
2602,VISam,VISam
2603,VIS,VISam
2604,grey,grey
2605,CA1,CA1
2606,LP,LP
2607,APN,APN
2608,CA3,VISpm
2609,CA1,VIS
2610,MB,PO
2611,VISal,VISal
2612,CA1,DG
2613,grey,LGd
2614,VISmma,VISmma
2615,CA1,VISam
2616,DG,DG
2617,DG,DG
2618,grey,CA3
2619,VISam,VPM
2620,DG,DG
2621,VISp,CA1
2622,VISal,SGN
2623,VISrl,VISpm
2624,VISp,CA1
2625,VISam,VISam
2626,grey,grey
2627,MGv,DG
2628,CA1,VISam
2629,APN,VISpm
2630,grey,CA3
2631,CA1,CA1
2632,CA1,CA1
2633,APN,VISpm
2634,VISpm,DG
2635,grey,grey
2636,grey,grey
2637,CA1,VISp
2638,DG,DG
2639,SUB,SUB
2640,VISl,CA1
2641,VISl,CA1
2642,VISrl,VISpm
2643,VISrl,VISrl
2644,VISal,VISal
2645,CA1,CA1
2646,APN,APN
2647,DG,DG
2648,APN,VISrl
2649,VIS,VISp
2650,VISam,VISp
2651,VISl,CA1
2652,VISrl,VISrl
2653,grey,APN
2654,grey,grey
2655,VISal,VISal
2656,VISrl,VISrl
2657,VISp,VISp
2658,VISli,MGd
2659,LP,MGv
2660,CA1,CA1
2661,APN,VISpm
2662,grey,VISrl
2663,LGv,VISpm
2664,DG,DG
2665,LP,MGv
2666,LP,VISpm
2667,VISp,CA1
2668,grey,grey
2669,CA1,VIS
2670,CA1,VIS
2671,VIS,VISp
2672,VISam,CA1
2673,CA1,CA1
2674,CA1,CA1
2675,VISam,VISam
2676,VISal,VISal
2677,grey,grey
2678,CA1,CA1
2679,CA3,grey
2680,CA1,SUB
2681,VIS,VIS
2682,CA1,VIS
2683,CA1,VISam
2684,grey,grey
2685,CA1,CA1
2686,VISp,SUB
2687,CA1,CA1
2688,VIS,CA1
2689,CA1,VISam
2690,DG,DG
2691,VISp,SUB
2692,SGN,VISal
2693,CA1,VISl
2694,CA2,VISrl
2695,MGv,VISal
2696,grey,APN
2697,CA1,VISp
2698,MGd,VISam
2699,CA1,VISl
2700,grey,grey
2701,CA1,CA1
2702,LP,VISrl
2703,VISrl,VISrl
2704,CA1,CA1
2705,grey,grey
2706,CA1,Eth
2707,CA1,VISam
2708,grey,grey
2709,CA1,VISl
2710,grey,grey
2711,CA1,CA1
2712,VISrl,VISrl
2713,SUB,VISp
2714,VISp,CA1
2715,VISp,CA1
2716,CA1,CA1
2717,NOT,NOT
2718,SUB,VISp
2719,grey,grey
2720,CA1,TH
2721,grey,grey
2722,grey,grey
2723,LGd,APN
2724,CA1,VISp
2725,CA1,VISam
2726,CA1,VIS
2727,VISal,MGv
2728,CA3,CA3
2729,APN,APN
2730,LGd,VISl
2731,CA1,VIS
2732,CA1,CA1
2733,APN,grey
2734,APN,APN
2735,APN,VISrl
2736,CA1,VISp
2737,grey,grey
2738,DG,DG
2739,APN,APN
2740,grey,grey
2741,APN,NOT
2742,SUB,CA1
2743,VISrl,VISrl
2744,CA1,CA1
2745,ProS,MGd
2746,NOT,NOT
2747,LP,LP
2748,VISal,VISal
2749,CA1,CA1
2750,VISal,VISal
2751,CA1,CA1
2752,DG,DG
2753,LP,LP
2754,CA1,VIS
2755,grey,grey
2756,VISp,VISp
